[ə'bændən] v./n.放弃；放纵
[ə'bæʃ] v.使害羞，使尴尬
[ə'beit] v.减轻，减少
[ə'bri:vieit] v.缩短；缩写
['æbdikeit] v.退位，辞职，放弃
[æ'berənt] a.越轨的；异常的
[,æbə'reiʃən] n.离开正路，脱离常轨；变形
[ə'bet] v.教唆，鼓励，帮助
[ə'beiəns] n.中止，搁置
[əb'hɔ:] v.憎恨，嫌恶
[əb'hɔrənt] a.可恨的，讨厌的
[ə'baid] v.容忍，忍受
['æbdʒekt] a.极可怜的;卑下的
[əb'dʒuə] v.发誓放弃
[ə'blu:ʃən] n.(宗教的)净礼，沐浴
['æbniɡeit] v.否认，放弃
[ə'bɔliʃ] v.废止，废除(法律、制度、习俗等)
[æbə'liʃən] n.废除，革除
[ə'bɔmineit] v.痛恨；厌恶
[ə'bʌv,bɔ:d] a./adv.光明正大的(地)
[ə'breid] v.磨损，磨小
[ə'breiʒən] n.表面磨损
[ə'breisiv] a.磨损的；生硬粗暴的
[ə'brest] adv.并列，并排
[ə'bridʒ] v.删减；缩短
['æbrəuɡeit] v.废止，废除
[æb'siʒən] n.[医]切除，截去；[植]脱离
[əb'skɔnd] v.潜逃，逃亡
[æbsən'ti:iz(ə)m] n.旷课，旷工
['æbsəlu:t] a.绝对的，完全的; 无(条件)限制的
[əb'zɔlv] v.赦免，免除
[əb'sɔ:b] v.吸收；同化；吸引„的注意
[əb'stein] v.禁绝，放弃
[æb'sti:mjəs] a.有节制的，节俭的(eating & drinking)
[æb'stenʃən] n.节制
[əb'stenʃəs] a.节制的
['æbstrækt] n.摘要；a.抽象的
[æb'stru:s] a.难懂的，深奥的
[əb'sə:d] a.荒谬的，可笑的
[ə'bʌndəns] n.充裕，多量
[ə'bʌndənt] a.丰富的，盛产的
[ə'bju:z] v./n.辱骂; 滥用
[ə'bju:siv] a.漫骂的；毁谤的；虐待的
[ə'bʌt] v.接界，毗连
[ə'bizməl] a.极深的；糟透的
[,ækə'demik] a.学院的，学术的；理论的
[ə,kædə'miʃən] n.院士；学会会员
[æk'si:d] v.同意
[æk'seləreit] v.加速；促进
[æk'sentjueit] v.重读；强调
['ækses] n.通路；途径
[ək'sesəbl] a.易达到的；易受影响的
[æk'sesəri] a.附属的，次要的
[ə'kleim] v.欢呼，称赞
[ə'klaimit] v.使服水土; 使适应
['ækəleid] n.推崇；赞扬
[ə'kɔmədeit] v.与„一致；提供食宿
[ə'kɔmədeitiŋ] a.乐于助人的
[ə'kʌmpəni] v.伴随，陪伴
[ə'kɔmplis] n.同谋者，帮凶
[ə'kɔmpliʃ] v.完成，做成功
[ə'kɔmpliʃt] a.完成了的；有技巧的，有造诣的
[ə'kɔ:d] v./n.同意；一致
[ə'kɔst] v.搭话
[ə,kautə'biliti] n.负有责任
[æ'kri:t] v.逐渐增长；添加生长；连生
[æ'kri:ʃən] n.自然的增加；增加物
[ə'kru:] v.(利息等)增大；增多
[ə'kju:mjuleit] v.积聚，积累(collect)
['ækjurəsi] n.精确，准确
['ækjurit] a.精确的，准确的
[ə'kju:z] v.谴责，指责
[ə'sə:bik] a.苦涩的；刻薄的
[ək'nɔlidʒ] v.承认；致谢
['ækmi] n.顶点，极点
['ækəlait] n.(教士的)助手，侍僧
['eikɔ:n] n.橡子，橡果
[ə'ku:stik] a.听觉的，有关声音的
[ə'kweint] v.使„熟知；通知
[ə'kweintəns] n.熟知；熟人
[ə'kweintid] a.对某事物熟悉的；对某人认识的
[,ækwi'es] v.勉强同意，默许
[ə'kwaiəd] a.后天习得的
[ə'kwizitiv] a.渴望得到的，贪婪的
[ə'kwit] v.宣告无罪；脱卸义务和责任；还清(债务)
[ə'kwit(ə)l] n.宣告无罪，开释
['ækrid] a.辛辣的，刻薄的
[ækri'məunjəs] a.尖刻的，严厉的
['ækriməni] n.尖刻，刻薄
['ækrəbæt] n.特技演员，杂技演员
[,ækrəu'fəubjə] n.恐高症
[ə'kjuiti] n.(尤指思想或感官)敏锐
[ə'kju:mən] n.敏锐，精明,聪明
[ə'kju:t] a.灵敏的；[病]急性的
['ædidʒ] n.格言，古训
['ædəmənt] a.强硬的；固执的
[ə'dæpt] v.使„适应；修改
[ə'dæptəbl] a.有适应能力的；可改编的
[ə'dendəm] n.补充，附录
[ə'dikt] v./n.沉溺；上瘾(者)
[ə'diʃən] n.增加，附加
['æditiv] n.添加剂
[ə'dres] v.处理，对付，着手解决；致词
['ædept] a.老练的，精通的
['ædikwit] a.足够的
[əd'hiə] v.粘着；依附,拥护
[əd'hiərənt] n.拥护者，信徒
[əd'hi:siv] a.带粘性的，胶粘的；n.胶合剂
[ə'dʒeisənt] a.接近的，毗连的
[ə'dʒə:n] v.使延期，推迟；休会
['ædʒʌŋkt] n.附加物，附件
[ə'dʒʌst] v.整顿，整理；适应
[əd'maiə] v.钦佩，赞赏
[əd'miʃən] n.许可；入会费；承认
[əd'mɔniʃ] v.训诫；警告
[ə'dəubi] n.泥砖，土坯
[,ædəu'lesnt] a.青春期的；n.青少年
[ə'dɔpt] v.收养；采纳
[ə'dɔ:] v.崇拜；热爱
[ə'dɔ:n] v.装饰
[ə'drɔit] a.熟练的，灵巧的
['ædjuleit] v.谄媚，奉承
[ə'dʌltəreit] v.掺假
['ædʌm,breit] v.(对将来事件)预示
['ædvənt] n.到来，来临
[,ædven'tiʃəs] a.偶然的
['ædvə:s] a.不利的，相反的；敌对
['ædvətaiz] v.做广告
